ID;Nome;Localidade;Profissao
18226548;Adalberto Chousa;Braga    Barcelos    Vila Boa    1 640     181;Técnico de manutenção
14399195;Jorge Guimarães;Viseu    Carregal do Sal    Papízios    758    1 409;Auditor
11321253;Leonor Canejo;Viana do castelo    Ponte de Lima    Anais    1 176     766;Eletricista
69271615;Valério Camarinho;Viseu    Moimenta da Beira    Leomil    1 250     3 940;Fisioterapeuta
67849922;Salomão Bezerril;Viseu    Resende    Feirão    131    470;Economista
58771795;Eugénio Castilho;Bragança    Macedo de Cavaleiros    Ala    497    3 376;Motorista
33791727;Matilde Varanda;Vila Real    Valpaços    Vassal    504    1 458;Nutricionista
18544015;Natividade Mata;Lisboa    Lisboa    S. João de Deus    10 782     90;Especialista em cibersegurança
67230779;Úrsula Lóio;Faro    Loulé    Loulé (S. Clemente)    14 406     4 742;Designer gráfico
17117529;David Chamusca;Aveiro    Aveiro    Glória    9 917     680;Técnico ambiental
35577222;Virgílio Garrido;Leiria    Ansião    Pousaflores    1 201     2 636;Economista
49680392;Valéria Ximenes;Viana do castelo    Monção    Parada    112    176;Empreendedor
15808657;Angelina Inácio;Leiria    Marinha Grande    Marinha Grande    28 372     13 887;Economista
40675158;Vilmar Homem;Porto    Penafiel    Penafiel    7 883     511;Diretor de hotel
43148468;Manuelina Brito;Vila Real    Vila Pouca de Aguiar    Alfarela de Jales    447    1 357;Programador / Desenvolvedor de software
32561246;Lourdes Girão;Setúbal    Palmela    Quinta do Anjo    8 354     5 106;Investigador
34646014;Laura Veloso;Braga    Celorico de Basto    Gagos    632    373;Técnico de radiologia
24610619;Danilo Peralta;Guarda    Figueira de Castelo Rodrigo    Almofala    250    2 986;Advogado
86993760;Lucília Bento;Lisboa    Alenquer    Alenquer (Santo Estêvão)    5 338     1 609;Assistente dentário
64424194;Bernarda Goes;Viana do castelo    Viana do Castelo    Vila Fria    1 364     657;Notário
11985708;Natalina Aranha;Porto    Baião    Mesquinhata    408    316;Engenheiro informático
15999171;Salomão Nunes;Santarem    Alcanena    Louriceira    611    1 278;Designer gráfico
43332165;Gastão Albernaz;Guarda    Pinhel    Cerejo    205    681;Personal trainer
37366718;Estevão Galante;Porto    Penafiel    Oldrões    2 028     533;Psicólogo
30161050;Acúrcio Meneses;Beja    Beja    Sta. Vitória    750    11 103;Motorista
55936467;Bianca Lencastre;Bragança    Alfândega da Fé    Sendim da Serra    110    1 187;Formador profissional
18906220;Erasmo Alcaide;Coimbra    Coimbra    Torres do Mondego    2 550     1 671;Contabilista
79963454;Alexandra Valente;Aveiro    Arouca    Mansores    1 155     1 512;Educador social
16176644;Ania Regodeiro;Bragança    Vinhais    Vinhais    2 382     3 376;Gestor
24681069;Michael Freiria;Viana do castelo    Caminha    Vila Praia de Âncora    4 688     815;Estafeta
12979362;Dóris Lemes;Leiria    Alcobaça    Pataias    5 453     7 995;Veterinário
16342953;Estrela Guilheiro;Bragança    Mogadouro    Penas Roias    459    3 304;Eletricista
54294626;Hermes Granjeia;Faro    Aljezur    Martim Longo    1 384     13 414;Especialista em marketing digital
49906028;Alberto Frade;Braga    Braga    Guisande    453    238;Animador turístico
61506493;Marcos Carlos;Viseu    Oliveira de Frades    Destriz    397    1 286;Advogado
20982999;Dores Quental;Leiria    Leiria    Barreira    3 301     1 176;Técnico de radiologia
80957500;Custódia Severo;Viseu    Penedono    Castainço    182    1 400;Engenheiro agrónomo
55116457;Evelise Paula;Lisboa    Mafra    Gradil    901    744;Comercial / vendedor
23623625;Cosme Girão;Viseu    Sernancelhe    Granjinha    52    248;Programador / Desenvolvedor de software
